"module name","license","repository"
"@intlify/message-compiler@11.1.11","MIT","https://github.com/intlify/vue-i18n"
"@intlify/shared@10.0.8","MIT","https://github.com/intlify/vue-i18n"
"@intlify/shared@11.1.11","MIT","https://github.com/intlify/vue-i18n"
"@intlify/unplugin-vue-i18n@6.0.8","MIT","https://github.com/intlify/bundle-tools"
"@intlify/utils@0.13.0","MIT","https://github.com/intlify/utils"
"@intlify/vue-i18n-extensions@8.0.0","MIT","https://github.com/intlify/vue-i18n-extensions"
"@ioredis/commands@1.3.0","MIT","https://github.com/ioredis/commands"
"@isaacs/balanced-match@4.0.1","MIT","https://github.com/isaacs/balanced-match"
"@isaacs/brace-expansion@5.0.0","MIT",""
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@isaacs/fs-minipass@4.0.1","ISC","https://github.com/npm/fs-minipass"
"@istanbuljs/schema@0.1.3","MIT","https://github.com/istanbuljs/schema"
"@jridgewell/gen-mapping@0.3.12","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.2.1","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/source-map@0.3.10","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/sourcemap-codec@1.5.4","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.29","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.9","MIT","https://github.com/jridgewell/trace-mapping"
"@js-sdsl/ordered-map@4.4.2","MIT","https://github.com/js-sdsl/js-sdsl"
"@jsdevtools/ono@7.1.3","MIT","https://github.com/JS-DevTools/ono"
"@koa/router@12.0.2","MIT","https://github.com/koajs/router"
"@kwsites/file-exists@1.1.1","MIT","https://github.com/kwsites/file-exists"
"@kwsites/promise-deferred@1.1.1","MIT","https://github.com/kwsites/promise-deferred"
"@manypkg/find-root@1.1.0","MIT",""
"@manypkg/get-packages@1.1.3","MIT",""
"@mapbox/node-pre-gyp@2.0.0","BSD-3-Clause","https://github.com/mapbox/node-pre-gyp"
"@mdx-js/react@3.1.0","MIT","https://github.com/mdx-js/mdx"
"@miyaneee/rollup-plugin-json5@1.2.0","MIT","https://github.com/Miyaneee/rollup-plugin-json5"
"@netlify/binary-info@1.0.0","Apache-2.0*","https://github.com/netlify/binary-info"
"@netlify/blobs@9.1.2","MIT","https://github.com/netlify/primitives"
"@netlify/dev-utils@2.2.0","MIT","https://github.com/netlify/primitives"
"@netlify/functions@3.1.10","MIT","https://github.com/netlify/primitives"
"@netlify/open-api@2.37.0","MIT","https://github.com/netlify/open-api"
"@netlify/runtime-utils@1.3.1","MIT","https://github.com/netlify/primitives"
"@netlify/serverless-functions-api@1.41.2","MIT","https://github.com/netlify/serverless-functions-api"
"@netlify/serverless-functions-api@2.1.3","MIT","https://github.com/netlify/serverless-functions-api"
"@netlify/zip-it-and-ship-it@12.2.1","MIT","https://github.com/netlify/build"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib.git#master"
"@nodelib/fs.scandir@4.0.1","MIT","https://github.com/nodelib/nodelib.git#master"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib.git#master"
"@nodelib/fs.stat@4.0.0","MIT","https://github.com/nodelib/nodelib.git#master"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib.git#master"
"@nodelib/fs.walk@3.0.1","MIT","https://github.com/nodelib/nodelib.git#master"
"@npmcli/fs@3.1.1","ISC","https://github.com/npm/fs"
"@nuxt/cli@3.27.0","MIT","https://github.com/nuxt/cli"
"@nuxt/devalue@2.0.2","MIT","https://github.com/nuxt/devalue"
"@nuxt/devtools-kit@2.6.2","MIT","https://github.com/nuxt/devtools"
"@nuxt/devtools-wizard@2.6.2","MIT","https://github.com/nuxt/devtools"
"@nuxt/devtools@2.6.2","MIT","https://github.com/nuxt/devtools"
"@nuxt/eslint-config@1.7.1","MIT","https://github.com/nuxt/eslint"
"@nuxt/eslint-plugin@1.7.1","MIT","https://github.com/nuxt/eslint"
"@nuxt/eslint@1.7.1","MIT","https://github.com/nuxt/eslint"
"@nuxt/fonts@0.11.4","MIT","https://github.com/nuxt/fonts"
"@nuxt/image@1.11.0","MIT","https://github.com/nuxt/image"
"@nuxt/kit@3.17.7","MIT","https://github.com/nuxt/nuxt"
"@nuxt/schema@3.17.7","MIT","https://github.com/nuxt/nuxt"
"@nuxt/scripts@0.11.10","MIT","https://github.com/nuxt/scripts"
"@nuxt/telemetry@2.6.6","MIT","https://github.com/nuxt/telemetry"
"@nuxt/test-utils@3.19.2","MIT","https://github.com/nuxt/test-utils"
